"","training_size","accuracy","learning_speed","user_time","sys_time","elapsed_time"
"user.self",3500,0.825238095238095,1,12050.18,7.57,34572.09
"user.self1",3500,0.844571428571429,1,12308.5,7.59,34830.42
"user.self2",3500,0.84152380952381,1,12567.1,7.62,35089.07
"user.self3",3500,0.864571428571429,1,12825.45,7.64,35347.43
"user.self4",3500,0.850285714285714,1,13082.62,7.67,35604.67
"user.self5",3500,0.849428571428571,1,13342.09,7.7,35864.17
"user.self6",3500,0.848285714285714,1,13600.73,7.73,36122.87
"user.self7",3500,0.864666666666667,1,13860.43,7.73,36382.57
"user.self8",3500,0.862857142857143,1,14120.85,7.73,36643
"user.self9",3500,0.851619047619048,1,14378.87,7.76,36901.06
