"","training_size","accuracy","learning_speed","user_time","sys_time","elapsed_time"
"user.self",3500,0.825238095238095,1,17246.29,8.43,39772.59
"user.self1",3500,0.844571428571429,1,17505.31,8.43,40031.65
"user.self2",3500,0.84152380952381,1,17765.9,8.48,40292.31
"user.self3",3500,0.864571428571429,1,18025.21,8.53,40551.68
"user.self4",3500,0.850285714285714,1,18284.87,8.54,40811.35
"user.self5",3500,0.849428571428571,1,18541.76,8.56,41068.28
"user.self6",3500,0.848285714285714,1,18798.81,8.57,41325.35
"user.self7",3500,0.864666666666667,1,19056.46,8.62,41583.07
"user.self8",3500,0.862857142857143,1,19316.07,8.62,41842.68
"user.self9",3500,0.851619047619048,1,19575.21,8.62,42101.84
