"","training_size","accuracy","learning_speed","user_time","sys_time","elapsed_time"
"user.self",3500,0.825238095238095,1,9475.34,7.14,31995.15
"user.self1",3500,0.844571428571429,1,9732.79,7.14,32252.62
"user.self2",3500,0.84152380952381,1,9986.92,7.15,32506.76
"user.self3",3500,0.864571428571429,1,10242.71,7.17,32762.62
"user.self4",3500,0.850285714285714,1,10498.5,7.18,33018.43
"user.self5",3500,0.849428571428571,1,10753.51,7.25,33273.51
"user.self6",3500,0.848285714285714,1,11009.54,7.28,33529.59
"user.self7",3500,0.864666666666667,1,11265.6,7.31,33785.7
"user.self8",3500,0.862857142857143,1,11521.28,7.32,34041.4
"user.self9",3500,0.851619047619048,1,11777.34,7.37,34297.53
