"","training_size","accuracy","learning_speed","user_time","sys_time","elapsed_time"
"user.self",3500,0.815238095238095,1,6875.82,6.67,29393.01
"user.self1",3500,0.848,1,7136.01,6.71,29653.25
"user.self2",3500,0.850952380952381,1,7394.51,6.73,29911.79
"user.self3",3500,0.862571428571429,1,7653.23,6.75,30170.53
"user.self4",3500,0.868190476190476,1,7913.17,6.75,30430.46
"user.self5",3500,0.880666666666667,1,8170.51,6.78,30687.87
"user.self6",3500,0.877809523809524,1,8429.32,6.84,30946.76
"user.self7",3500,0.880285714285714,1,8688.04,6.87,31205.51
"user.self8",3500,0.882285714285714,1,8946.9,6.89,31464.4
"user.self9",3500,0.880285714285714,1,9204.96,6.9,31722.48
